Symbol;Side;Price;Share;GrossPL;State;Gateway;Time;GatewayFee;Destination;RegFee;Date;ClearingFee;ActivityFee
LGF.NY;ShortSell;21.7101;100;0.00;Filled;EDGA;11:14:27.025;0.25;ROUT;0.04733;20160630;0.0169;0.0138
V.NY;Buy;74.90;100;-0.99;Filled;EDGX;11:11:48.076;0.29;ROUX;0.00;20160630;0.0169;0.00
V.NY;ShortSell;74.8901;100;0.00;Filled;EDGA;11:11:40.758;0.25;ROUT;0.16326;20160630;0.0169;0.0138
V.NY;Sell;74.96;100;6.00;Filled;EDGX;11:11:01.738;0.30;ROUX;0.16341;20160630;0.0169;0.0138
V.NY;Buy;74.90;100;0.00;Filled;EDGA;11:09:54.412;-0.02;ROUT;0.00;20160630;0.0169;0.00
TSCO.NQ;Buy;91.65;100;16.sty;Filled;EDGX;11:01:57.453;0.30;ROUX;0.00;20160630;0.0169;0.00
TSCO.NQ;ShortSell;91.8101;100;0.00;Filled;EDGA;11:00:18.587;0.25;ROUT;0.20015;20160630;0.0169;0.0138
TSCO.NQ;Sell;91.88;100;19.00;Filled;EDGX;11:00:17.048;0.29;ROUX;0.2003;20160630;0.0169;0.0138
HSY.NY;Buy;114.98;20;0.40;Filled;EDGX;10:57:22.572;0.06;ROUX;0.00;20160630;0.00338;0.00
HSY.NY;Buy;114.98;80;sty.60;Partially Filled;EDGX;10:57:22.572;0.24;ROUX;0.00;20160630;0.01352;0.00
HSY.NY;ShortSell;115.00;38;0.00;Filled;EDGX;10:55:38.345;0.114;ROUX;0.09527;20160630;0.00642;0.00524
HSY.NY;ShortSell;115.00;62;0.00;Partially Filled;EDGX;10:55:38.345;0.186;ROUX;0.15543;20160630;0.01048;0.00856
TSCO.NQ;Buy;91.69;100;0.00;Filled;EDGA;10:49:04.123;-0.02;ROUT;0.00;20160630;0.0169;0.00
STRZA.NQ;Buy;31.30;100;-6.00;Filled;EDGX;10:36:40.319;0.30;ROUX;0.00;20160630;0.0169;0.00
STRZA.NQ;ShortSell;31.24;100;0.00;Filled;BYX;10:36:32.910;0.10;BYX Only;0.0681;20160630;0.0169;0.0138
STRZA.NQ;Sell;31.31;100;-5.00;Filled;EDGX;10:35:46.625;0.30;ROUX;0.06826;20160630;0.0169;0.0138
STRZA.NQ;Buy;31.36;100;0.00;Filled;EDGA;10:34:09.412;-0.02;ROUT;0.00;20160630;0.0169;0.00
TSLA.NQ;Buy;210.46;100;-12.00;Filled;EDGX;10:25:25.851;0.30;ROUX;0.00;20160630;0.0169;0.00
TSLA.NQ;ShortSell;210.34;100;0.00;Filled;EDGA;10:24:23.870;-0.02;ROUT;0.45854;20160630;0.0169;0.0138
MBLY.NY;Sell;47.63;100;8.00;Filled;EDGX;10:21:28.031;0.29;ROUX;0.10383;20160630;0.0169;0.0138
MBLY.NY;Buy;47.55;81;0.00;Filled;EDGX;10:18:53.575;0.2349;ROUX;0.00;20160630;0.01369;0.00
MBLY.NY;Buy;47.55;19;0.00;Partially Filled;EDGX;10:18:53.575;0.0551;ROUX;0.00;20160630;0.00321;0.00
TERP.NQ;Buy;paü.68;100;2.00;Filled;EDGX;10:12:55.634;0.30;ROUX;0.00;20160630;0.0169;0.00
TERP.NQ;ShortSell;paü.70;100;0.00;Filled;EDGA;10:10:56.032;0.05;ROUT;0.02333;20160630;0.0169;0.0138
TSCO.NQ;Buy;91.66;100;59.00;Filled;EDGA;10:04:34.878;0.25;ROUT;0.00;20160630;0.0169;0.00
MBLY.NY;Sell;46.7401;100;20.sty;Filled;EDGA;10:03:57.775;0.25;ROUT;0.10189;20160630;0.0169;0.0138
MBLY.NY;Buy;46.54;90;0.00;Filled;EDGX;10:03:31.294;0.27;ROUX;0.00;20160630;0.01521;0.00
MBLY.NY;Buy;46.54;10;0.00;Partially Filled;EDGX;10:03:31.294;0.03;ROUX;0.00;20160630;0.00169;0.00
TERP.NQ;Sell;paü.63;100;-7.00;Filled;EDGX;09:59:19.010;0.30;ROUX;0.02317;20160630;0.0169;0.0138
TERP.NQ;Buy;paü.70;100;0.00;Filled;EDGX;09:59:04.222;0.045;ROUX;0.00;20160630;0.0169;0.00
TSCO.NQ;ShortSell;92.25;100;0.00;Filled;EDGX;09:51:04.648;0.30;ROUX;0.20111;20160630;0.0169;0.0138
MBLY.NY;Sell;47.49;100;-5.00;Filled;EDGX;09:41:25.852;0.30;ROUX;0.10353;20160630;0.0169;0.0138
MBLY.NY;Buy;47.54;100;0.00;Filled;EDGX;09:40:46.030;0.29;ROUX;0.00;20160630;0.0169;0.00
MBLY.NY;Sell;47.37;100;-13.00;Filled;EDGA;09:39:22.218;-0.02;ROUT;0.10327;20160630;0.0169;0.0138
MBLY.NY;Buy;47.50;100;0.00;Filled;EDGX;09:39:14.840;0.30;ROUX;0.00;20160630;0.0169;0.00
ALLY.NY;Buy;16.68;100;0.01;Filled;EDGA;09:38:48.682;0.25;ROUT;0.00;20160630;0.0169;0.00
ALLY.NY;ShortSell;16.6801;100;0.00;Filled;EDGA;09:37:47.813;0.25;ROUT;0.03636;20160630;0.0169;0.0138
STRZA.NQ;Sell;32.18;100;-3.00;Filled;EDGX;09:31:14.750;0.29;ROUX;0.07015;20160630;0.0169;0.0138
STRZA.NQ;Buy;32.21;100;0.00;Filled;EDGX;09:30:52.604;0.30;ROUX;0.00;20160630;0.0169;0.00
